"","price","type.residential","no.beds","size.sq.meter","apart.area.name","area.name","category"
"1682",53999,"Apartment","studio ",750," Emirates Gardens 2"," Jumeirah Village Circle","Featured"
"1683",115000,"Apartment","1 ",950,"Damac Heights"," Dubai Marina","Featured"
"1684",65000,"Apartment","1 ",765," Sobha Hartland"," Mohammed Bin Rashid City","Featured"
"1685",165000,"Apartment","3 ",1851,"Marina Tower"," Dubai Marina","Featured"
"1686",90000,"Apartment","studio ",715," Murjan"," Jumeirah Beach Residence","Featured"
"1687",430000,"Apartment","3 ",2108," Burj Vista"," Downtown Dubai","Featured"
"1688",160000,"Apartment","2 ",1254,"Cayan Tower"," Dubai Marina","Featured"
"1689",27000,"Apartment","studio ",309,"National Bonds Residence"," Jumeirah Village Circle","Featured"
"1690",58999,"Apartment","studio ",548," Palm Views"," Palm Jumeirah","Featured"
"1691",111000,"Apartment","1 ",948," The Residences"," Downtown Dubai","Featured"
"1692",4e+05,"Apartment","2 ",1700," The Address Sky View Towers"," Downtown Dubai","Featured"
"1693",135000,"Apartment","2 ",1288,"Paramount Tower Hotel & Residences"," Business Bay","Featured"
"1694",125000,"Apartment","2 ",1258,"The Torch"," Dubai Marina","Featured"
"1695",120000,"Apartment","studio ",556,"The Address The BLVD"," Downtown Dubai","Featured"
"1696",50000,"Apartment","1 ",970,"Binghatti Gate"," Jumeirah Village Circle","Featured"
"1697",135000,"Apartment","2 ",1354," Reehan"," Old Town","Featured"
"1698",80000,"Apartment","2 ",1529," Canal Residence"," Dubai Sports City","Featured"
"1699",285000,"Apartment","2 ",1676," Burj Khalifa Area"," Downtown Dubai","Featured"
"1700",240000,"Apartment","3 ",1892," South Ridge"," Downtown Dubai","Featured"
"1701",94995,"Apartment","1 ",807,"Elite Downtown"," Downtown Dubai","Featured"
"1702",185000,"Apartment","2 ",1478,"Trident Grand Residence"," Dubai Marina","Featured"
"1703",220000,"Apartment","1 ",878," Burj Vista"," Downtown Dubai","Featured"
"1704",33000,"Apartment","studio ",451,"O2 Tower"," Jumeirah Village Circle","Featured"
"1705",1e+05,"Apartment","1 ",831,"Damac Heights"," Dubai Marina","Featured"
"1706",155000,"Apartment","2 ",1521,"Cayan Tower"," Dubai Marina","Featured"
"1707",39000,"Apartment","2 ",1000," Al Qusais Residential Area"," Al Qusais","Featured"
"1708",42000,"Apartment","1 ",825," District 13"," Jumeirah Village Circle","Featured"
"1709",24000,"Apartment","studio ",480," Elite Sports Residence"," Dubai Sports City","Featured"
"1710",80000,"Apartment","1 ",851,"The Bay Residence"," Business Bay","Featured"
"1711",170000,"Apartment","2 ",1671," BLVD Crescent"," Downtown Dubai","Featured"
"1712",50000,"Apartment","studio ",648,"Villa Pera"," Jumeirah Village Circle","Featured"
"1713",68000,"Apartment","1 ",788,"Wilton Terraces 2"," Mohammed Bin Rashid City","Featured"
"1714",70000,"Apartment","1 ",698," Sobha Hartland"," Mohammed Bin Rashid City","Featured"
"1715",65000,"Apartment","2 ",1400,"Geepas Tower"," Arjan","Featured"
"1716",65000,"Apartment","2 ",1350,"Geepas Tower"," Arjan","Featured"
"1717",51000,"Apartment","3 ",1200," Al Qusais Residential Area"," Al Qusais","Featured"
"1718",160000,"Apartment","1 ",1144,"Azure Residences"," Palm Jumeirah","Featured"
"1719",175000,"Apartment","2 ",1210," La Mer"," Jumeirah","Featured"
"1720",80000,"Apartment","1 ",803," Al Habtoor City"," Business Bay","Featured"
"1721",68000,"Apartment","studio ",544," Palm Views"," Palm Jumeirah","Featured"
"1722",45000,"Apartment","1 ",1084," Canal Residence"," Dubai Sports City","Featured"
"1723",45000,"Apartment","1 ",671," Glitz"," Dubai Studio City","Featured"
"1724",80000,"Apartment","1 ",1065,"DAMAC Maison Canal Views"," Business Bay","Featured"
"1725",125000,"Apartment","1 ",1142," Grandeur Residences"," Palm Jumeirah","Featured"
"1726",33000,"Apartment","studio ",577,"Lincoln Park"," Arjan","Featured"
"1727",70000,"Apartment","1 ",639," Lake Almas West"," Jumeirah Lake Towers","Featured"
"1728",149999,"Apartment","1 ",826," Burj Khalifa Area"," Downtown Dubai","Featured"
"1729",65000,"Apartment","1 ",795," Meydan Avenue"," Meydan","Featured"
"1730",45000,"Apartment","studio ",391,"Bloom Towers"," Jumeirah Village Circle","Featured"
"1731",80000,"Apartment","1 ",1025,"Dubai Creek Residence Tower 2 South"," Dubai Creek Harbour (The Lagoons)","Featured"
"1732",33000,"Apartment","studio ",577,"Lincoln Park"," Arjan","Featured"
"1733",2e+05,"Apartment","3 ",2077," Al Jaz"," Greens","Featured"
"1734",50000,"Apartment","studio ",445," Bay Central"," Dubai Marina","Featured"
"1735",120000,"Apartment","1 ",791," Marina Gate"," Dubai Marina","Featured"
"1736",169000,"Apartment","1 ",1103," Burj Khalifa Area"," Downtown Dubai","Featured"
"1737",120000,"Apartment","1 ",1034," Al Habtoor City"," Business Bay","Featured"
"1738",299900,"Apartment","3 ",1838," The Residences"," Downtown Dubai","Featured"
"1739",114500,"Apartment","2 ",1663," Al Seef  Towers"," Jumeirah Lake Towers","Featured"
"1740",75000,"Apartment","1 ",723,"The cove"," Dubai Creek Harbour (The Lagoons)","Featured"
"1741",64995,"Apartment","studio ",522,"Elite Downtown"," Downtown Dubai","Featured"
"1742",159999,"Apartment","2 ",1290," Rimal"," Jumeirah Beach Residence","Featured"
"1743",330000,"Apartment","2 ",1543," The Address Sky View Towers"," Downtown Dubai","Featured"
"1744",135000,"Apartment","2 ",1255,"Cayan Tower"," Dubai Marina","Featured"
"1745",175000,"Apartment","2 ",1610," Oceanic"," Dubai Marina","Featured"
"1746",65000,"Apartment","1 ",765," Sobha Hartland"," Mohammed Bin Rashid City","Featured"
"1747",160000,"Apartment","2 ",1254,"Cayan Tower"," Dubai Marina","Featured"
"1748",111000,"Apartment","1 ",948," The Residences"," Downtown Dubai","Featured"
"1749",4e+05,"Apartment","2 ",1700," The Address Sky View Towers"," Downtown Dubai","Featured"
"1750",80000,"Apartment","2 ",1529," Canal Residence"," Dubai Sports City","Featured"
"1751",94995,"Apartment","1 ",807,"Elite Downtown"," Downtown Dubai","Featured"
"1752",185000,"Apartment","2 ",1478,"Trident Grand Residence"," Dubai Marina","Featured"
"1753",155000,"Apartment","2 ",1521,"Cayan Tower"," Dubai Marina","Featured"
"1754",110000,"Apartment","2 ",1184,"Princess Tower"," Dubai Marina","Featured"
"1755",54980,"Apartment","studio ",456,"DAMAC Majestine"," Business Bay","Featured"
"1756",80000,"Apartment","1 ",803," Al Habtoor City"," Business Bay","Featured"
"1757",42000,"Apartment","2 ",1157,"The Pulse"," Dubai South (Dubai World Central)","Featured"
"1758",70000,"Apartment","2 ",730,"Collective"," Dubai Hills Estate","Featured"
"1759",66000,"Apartment","1 ",788,"Wilton Terraces 2"," Mohammed Bin Rashid City","Featured"
"1760",50000,"Apartment","1 ",791," Lake Elucio"," Jumeirah Lake Towers","Featured"
"1761",120000,"Apartment","2 ",1287,"The cove"," Dubai Creek Harbour (The Lagoons)","Featured"
"1762",270000,"Apartment","2 ",1716,"Building 1"," City Walk","Featured"
"1763",270000,"Apartment","2 ",1774," Vida Residence"," The Hills","Featured"
"1764",1e+05,"Apartment","1 ",780," Reehan"," Old Town","Featured"
"1765",58000,"Apartment","1 ",910,"Sulafa Tower"," Dubai Marina","Featured"
"1766",85000,"Apartment","1 ",823," DEC Towers"," Dubai Marina","Featured"
"1767",150000,"Apartment","2 ",1511," Al Habtoor City"," Business Bay","Featured"
"1768",180000,"Apartment","2 ",1579," Al Majara"," Dubai Marina","Featured"
"1769",110000,"Apartment","2 ",1421," Sadaf"," Jumeirah Beach Residence","Featured"
"1770",26000,"Apartment","studio ",411," Elite Sports Residence"," Dubai Sports City","Featured"
"1771",60000,"Apartment","1 ",725,"Creek Gate"," Dubai Creek Harbour (The Lagoons)","Featured"
"1772",90000,"Apartment","1 ",708," Bay Central"," Dubai Marina","Featured"
"1773",190000,"Apartment","3 ",2200,"The Atria"," Business Bay","Featured"
"1774",105000,"Apartment","1 ",955," Marina Promenade"," Dubai Marina","Featured"
"1775",50000,"Apartment","studio ",509," Jumeirah Bay Towers"," Jumeirah Lake Towers","Featured"
"1776",51500,"Apartment","2 ",957," Al Nahda 1"," Al Nahda","Featured"
"1777",120000,"Apartment","2 ",1287,"The cove"," Dubai Creek Harbour (The Lagoons)","Featured"
"1778",70000,"Apartment","2 ",1282," Azizi Residence"," Al Furjan","Featured"
"1779",65000,"Apartment","studio ",529,"DAMAC Maison Privé"," Business Bay","Featured"
"1780",90000,"Apartment","1 ",1185,"Ocean Heights"," Dubai Marina","Featured"
"1781",150000,"Apartment","2 ",1471,"Damac Heights"," Dubai Marina","Featured"
"1782",115000,"Apartment","1 ",761,"Cayan Tower"," Dubai Marina","Featured"
"1783",70000,"Apartment","2 ",804," Sobha Hartland"," Mohammed Bin Rashid City","Featured"
"1784",180000,"Apartment","2 ",1929,"Building 12"," City Walk","Featured"
"1785",115000,"Apartment","1 ",765," Madinat Jumeirah Living"," Umm Suqeim","Featured"
"1786",36000,"Apartment","1 ",679," Silicon Gates"," Dubai Silicon Oasis","Featured"
"1787",49888,"Apartment","1 ",831," District 18"," Jumeirah Village Circle","Featured"
"1788",325000,"Apartment","3 ",1804,"Downtown Views"," Downtown Dubai","Featured"
"1789",60000,"Apartment","1 ",485,"Collective"," Dubai Hills Estate","Featured"
"1790",230000,"Apartment","2 ",1140," EMAAR Beachfront"," Dubai Harbour","Featured"
"1791",425000,"Apartment","3 ",1938," The Address Sky View Towers"," Downtown Dubai","Featured"
"1792",1e+05,"Apartment","studio ",606," Reehan"," Old Town","Featured"
"1793",43000,"Apartment","1 ",623,"Hera Tower"," Dubai Sports City","Featured"
"1794",55000,"Apartment","studio ",597,"West Wharf"," Business Bay","Featured"
"1795",270000,"Apartment","2 ",1716,"Building 1"," City Walk","Featured"
"1796",85000,"Apartment","2 ",784,"Collective"," Dubai Hills Estate","Featured"
"1797",140000,"Apartment","1 ",733,"Vida Residence Downtown"," Downtown Dubai","Featured"
"1798",43000,"Apartment","1 ",748,"Hera Tower"," Dubai Sports City","Featured"
"1799",270000,"Apartment","2 ",1774," Vida Residence"," The Hills","Featured"
"1800",235000,"Apartment","2 ",1639," Burj Khalifa Area"," Downtown Dubai","Featured"
"1801",155000,"Apartment","2 ",1061,"5242"," Dubai Marina","Featured"
"1802",39000,"Apartment","studio ",389,"Oxford Boulevard"," Jumeirah Village Circle","Featured"
"1803",35000,"Apartment","studio ",489,"Azizi Star"," Al Furjan","Featured"
"1804",115000,"Apartment","2 ",1336,"Burj Al Salam"," Sheikh Zayed Road","Featured"
"1805",76000,"Apartment","2 ",1480," Shakespeare Circus"," Motor City","Featured"
"1806",99000,"Apartment","studio ",500,"The Palm Tower"," Palm Jumeirah","Featured"
"1807",89999,"Apartment","studio ",650,"SLS Dubai Hotel & Residences"," Business Bay","Featured"
"1808",135000,"Apartment","2 ",1346,"The cove"," Dubai Creek Harbour (The Lagoons)","Featured"
"1809",60000,"Apartment","2 ",1165,"Hera Tower"," Dubai Sports City","Featured"
"1810",180000,"Apartment","1 ",916," La Mer"," Jumeirah","Featured"
"1811",28000,"Apartment","studio ",408,"Hera Tower"," Dubai Sports City","Featured"
"1812",30000,"Apartment","studio ",438,"Azizi Plaza"," Al Furjan","Featured"
"1813",42000,"Apartment","1 ",825," District 13"," Jumeirah Village Circle","Featured"
"1814",28000,"Apartment","studio ",339,"Hera Tower"," Dubai Sports City","Featured"
"1815",120000,"Apartment","1 ",905," BLVD Heights"," Downtown Dubai","Featured"
"1816",75000,"Apartment","2 ",804," Sobha Hartland"," Mohammed Bin Rashid City","Featured"
"1817",449000,"Apartment","2 ",1926," Burj Khalifa Area"," Downtown Dubai","Featured"
"1818",380000,"Apartment","2 ",1969," Bluewaters Residences"," Bluewaters","Featured"
"1819",115000,"Apartment","1 ",704," EMAAR Beachfront"," Dubai Harbour","Featured"
"1820",170000,"Apartment","3 ",1753,"Iris Blue"," Dubai Marina","Featured"
"1821",45000,"Apartment","1 ",1431,"National Bonds Residence"," Jumeirah Village Circle","Featured"
"1822",84000,"Apartment","1 ",506,"Hive JVC"," Jumeirah Village Circle","Featured"
"1823",130000,"Apartment","2 ",1382,"Yacht Bay"," Dubai Marina","Featured"
"1824",2e+05,"Apartment","2 ",1195,"Downtown Views"," Downtown Dubai","Featured"
"1825",150000,"Apartment","2 ",1511," Al Habtoor City"," Business Bay","Featured"
"1826",160000,"Apartment","3 ",2042,"Trinity"," DAMAC Hills","Featured"
"1827",210000,"Apartment","2 ",1836,"Index Tower"," DIFC","Featured"
"1828",110000,"Apartment","1 ",762," Marina Gate"," Dubai Marina","Featured"
"1829",80000,"Apartment","2 ",1300,"Spring Oasis"," Dubai Silicon Oasis","Featured"
"1830",35000,"Apartment","studio ",395,"Bloom Towers"," Jumeirah Village Circle","Featured"
"1831",36000,"Apartment","1 ",891,"Binghatti Point"," Dubai Silicon Oasis","Featured"
"1832",70000,"Apartment","1 ",758," Creek Horizon"," Dubai Creek Harbour (The Lagoons)","Featured"
"1833",260000,"Apartment","3 ",1842," BLVD Crescent"," Downtown Dubai","Featured"
"1834",155000,"Apartment","3 ",1604,"Harbour Views 1"," Dubai Creek Harbour (The Lagoons)","Featured"
"1835",370000,"Apartment","3 ",2069," EMAAR Beachfront"," Dubai Harbour","Featured"
"1836",93000,"Apartment","1 ",951," Al Majara"," Dubai Marina","Featured"
"1837",85000,"Apartment","1 ",1105," Rimal"," Jumeirah Beach Residence","Featured"
"1838",190000,"Apartment","2 ",1960,"Building 4A"," City Walk","Featured"
"1839",60000,"Apartment","1 ",480,"Collective 2.0"," Dubai Hills Estate","Featured"
"1840",34999,"Apartment","studio ",438," District 18"," Jumeirah Village Circle","Featured"
"1841",114999,"Apartment","2 ",1328,"Elite Residence"," Dubai Marina","Featured"
"1842",150000,"Apartment","2 ",1855,"Marina Terrace"," Dubai Marina","Featured"
"1843",2e+05,"Apartment","3 ",1750," The Fairways"," The Views","Featured"
"1844",110000,"Apartment","studio ",520,"The Address Downtown Hotel"," Downtown Dubai","Featured"
"1845",26000,"Apartment","studio ",472,"Plaza Residences"," Jumeirah Village Circle","Featured"
"1846",90000,"Apartment","1 ",930," Miska"," Old Town","Featured"
"1847",33000,"Apartment","studio ",405,"Miraclz Tower by Danube"," Arjan","Featured"
"1848",184999,"Apartment","2 ",1426,"Boulevard Point"," Downtown Dubai","Featured"
"1849",84900,"Apartment","studio ",651,"SLS Dubai Hotel & Residences"," Business Bay","Featured"
"1850",3e+05,"Apartment","2 ",1923," Amwaj"," Jumeirah Beach Residence","Featured"
"1851",260000,"Apartment","3 ",1606,"Downtown Views"," Downtown Dubai","Featured"
"1852",38990,"Apartment","studio ",440,"Hanover Square"," Jumeirah Village Circle","Featured"
"1853",90000,"Apartment","1 ",926,"Elite Residence"," Dubai Marina","Featured"
"1854",110000,"Apartment","3 ",1583,"Marina Pinnacle"," Dubai Marina","Featured"
"1855",50000,"Apartment","1 ",900,"Al Warsan Building"," Barsha Heights (Tecom)","Featured"
"1856",180000,"Apartment","1 ",1340," Oceana"," Palm Jumeirah","Featured"
"1857",37000,"Apartment","1 ",706,"May Residence"," Jumeirah Village Circle","Featured"
"1858",95000,"Apartment","2 ",1128," Creek Horizon"," Dubai Creek Harbour (The Lagoons)","Featured"
"1859",74000,"Apartment","2 ",726,"Collective 2.0"," Dubai Hills Estate","Featured"
"1860",44999,"Apartment","studio ",415," Lake Almas West"," Jumeirah Lake Towers","Featured"
"1861",90000,"Apartment","1 ",722,"West Avenue Tower"," Dubai Marina","Featured"
"1862",95000,"Apartment","studio ",506,"The Palm Tower"," Palm Jumeirah","Featured"
"1863",70000,"Apartment","2 ",1127," District 18"," Jumeirah Village Circle","Featured"
"1864",33000,"Apartment","studio ",405," The Drive"," DAMAC Hills","Featured"
"1865",180000,"Apartment","1 ",934,"The Address Downtown Hotel"," Downtown Dubai","Featured"
"1866",70000,"Apartment","1 ",639," Lake Almas West"," Jumeirah Lake Towers","Featured"
"1867",177000,"Apartment","2 ",1204,"No.9"," Dubai Marina","Featured"
"1868",299999,"Apartment","3 ",1958," Marina Gate"," Dubai Marina","Featured"
"1869",139999,"Apartment","1 ",816," Madinat Jumeirah Living"," Umm Suqeim","Featured"
"1870",164900,"Apartment","1 ",1142,"Azure Residences"," Palm Jumeirah","Featured"
"1871",2e+05,"Apartment","2 ",1560," South Ridge"," Downtown Dubai","Featured"
"1872",65000,"Apartment","2 ",1157," EMAAR South"," Dubai South (Dubai World Central)","Featured"
"1873",35000,"Apartment","1 ",775," Royal Residence"," Dubai Sports City","Featured"
"1874",32400,"Apartment","studio ",484,"England Cluster"," International City","Featured"
"1875",30000,"Apartment","studio ",348,"O2 Tower"," Jumeirah Village Circle","Featured"
"1876",9e+05,"Apartment","4 ",2530," Bluewaters Residences"," Bluewaters","Featured"
"1877",29000,"Apartment","studio ",432,"Lawnz by Danube"," International City","Featured"
"1878",3e+05,"Apartment","3 ",2215,"Damac Heights"," Dubai Marina","Featured"
"1879",50000,"Apartment","1 ",703,"Binghatti Avenue"," Al Jaddaf","Featured"
"1880",110000,"Apartment","1 ",772," The Fairways"," The Views","Featured"
"1881",85000,"Apartment","1 ",1199," Shams"," Jumeirah Beach Residence","Featured"
"1882",85000,"Apartment","1 ",618," Marina Gate"," Dubai Marina","Featured"
"1883",465000,"Apartment","3 ",2018," The Address Sky View Towers"," Downtown Dubai","Featured"
"1884",260000,"Apartment","2 ",1596,"Damac Heights"," Dubai Marina","Featured"
"1885",34000,"Apartment","studio ",392," Glamz"," Al Furjan","Featured"
"1886",7e+05,"Apartment","4 ",2537," The Address Sky View Towers"," Downtown Dubai","Featured"
"1887",385000,"Apartment","2 ",1700," The Address Sky View Towers"," Downtown Dubai","Featured"
"1888",140000,"Apartment","1 ",935,"MINA by Azizi"," Palm Jumeirah","Featured"
"1889",144000,"Apartment","1 ",1356," The Fairmont Palm Residences"," Palm Jumeirah","Featured"
"1890",130000,"Apartment","1 ",778," La Mer"," Jumeirah","Featured"
"1891",280000,"Apartment","2 ",1505," The Address Residence Fountain Views"," Downtown Dubai","Featured"
"1892",92000,"Apartment","1 ",838," Claren Towers"," Downtown Dubai","Featured"
"1893",55000,"Apartment","studio ",429,"DAMAC Maison Privé"," Business Bay","Featured"
"1894",52000,"Apartment","1 ",901," Lake Almas West"," Jumeirah Lake Towers","Featured"
"1895",310000,"Apartment","3 ",3328," Golden Mile"," Palm Jumeirah","Featured"
"1896",68000,"Apartment","2 ",988,"Starz by Danube"," Al Furjan","Featured"
"1897",40000,"Apartment","studio ",417," Al Barsha South"," Al Barsha","Featured"
"1898",70000,"Apartment","studio ",433,"MAG 318"," Business Bay","Featured"
"1899",440000,"Apartment","3 ",2106," Burj Vista"," Downtown Dubai","Featured"
"1900",145000,"Apartment","3 ",1882," Murjan"," Jumeirah Beach Residence","Featured"
"1901",145000,"Apartment","2 ",1211,"The Point"," Dubai Marina","Featured"
"1902",119999,"Apartment","2 ",1400," Burj Views"," Downtown Dubai","Featured"
"1903",42000,"Apartment","1 ",1000," La Vista Residence"," Dubai Silicon Oasis","Featured"
"1904",160000,"Apartment","2 ",1402,"Millennium Binghatti Residences"," Business Bay","Featured"
"1905",140000,"Apartment","2 ",1443," The Hills C"," The Hills","Featured"
"1906",55000,"Apartment","2 ",1442,"The Centurion Residences"," Dubai Investment Park","Featured"
"1907",42000,"Apartment","1 ",739,"Sandoval Gardens"," Jumeirah Village Circle","Featured"
"1908",145000,"Apartment","3 ",1365,"Bayz by Danube"," Business Bay","Featured"
"1909",50000,"Apartment","2 ",896,"Binghatti Point"," Dubai Silicon Oasis","Featured"
"1910",95000,"Apartment","2 ",1180,"Princess Tower"," Dubai Marina","Featured"
"1911",110000,"Apartment","1 ",802,"Damac Heights"," Dubai Marina","Featured"
"1912",NA,"Apartment","1 ",753,"Bloom Towers"," Jumeirah Village Circle","Featured"
"1913",220000,"Apartment","3 ",1930,"Dubai Creek Residence Tower 2 South"," Dubai Creek Harbour (The Lagoons)","Featured"
"1914",165000,"Apartment","3 ",1719,"Harbour Views 2"," Dubai Creek Harbour (The Lagoons)","Featured"
"1915",230000,"Apartment","2 ",1715," Burj Khalifa Area"," Downtown Dubai","Featured"
"1916",60000,"Apartment","2 ",1113," The Imperial Residence"," Jumeirah Village Triangle","Featured"
"1917",125000,"Apartment","2 ",1424," Sadaf"," Jumeirah Beach Residence","Featured"
"1918",103000,"Apartment","1 ",808,"Elite Downtown"," Downtown Dubai","Featured"
"1919",40000,"Apartment","studio ",420,"MILANO by Giovanni Botique Suites"," Jumeirah Village Circle","Featured"
"1920",79999,"Apartment","1 ",761," Bahar"," Jumeirah Beach Residence","Featured"
"1921",135000,"Apartment","1 ",946,"Damac Heights"," Dubai Marina","Featured"
"1922",260000,"Apartment","2 ",1385," Vida Residence"," The Hills","Featured"
"1923",1e+05,"Apartment","2 ",1092,"Creek Rise"," Dubai Creek Harbour (The Lagoons)","Featured"
"1924",220000,"Apartment","2 ",1367," Marina Quays"," Dubai Marina","Featured"
"1925",57000,"Apartment","1 ",840," Lake Almas East"," Jumeirah Lake Towers","Featured"
"1926",285000,"Apartment","2 ",1452," The Address Residence Fountain Views"," Downtown Dubai","Featured"
"1927",85000,"Apartment","1 ",1007,"Marina Heights"," Dubai Marina","Featured"
"1928",59999,"Apartment","1 ",737,"Chaimaa Avenue Residences"," Jumeirah Village Circle","Featured"
"1929",40000,"Apartment","1 ",1060," Emirates Gardens 2"," Jumeirah Village Circle","Featured"
"1930",399000,"Apartment","3 ",2333," Burj Khalifa Area"," Downtown Dubai","Featured"
"1931",70000,"Apartment","1 ",969,"East 40"," Al Furjan","Featured"
"1932",546000,"Apartment","4 ",2734," Madinat Jumeirah Living"," Umm Suqeim","Featured"
"1933",4e+05,"Apartment","3 ",2184,"The Address The BLVD"," Downtown Dubai","Featured"
"1934",3e+05,"Apartment","2 ",1650,"Vida Residence Downtown"," Downtown Dubai","Featured"
"1935",5e+05,"Apartment","3 ",2184,"The Address The BLVD"," Downtown Dubai","Featured"
"1936",225000,"Apartment","2 ",1554," Burj Khalifa Area"," Downtown Dubai","Featured"
"1937",170000,"Apartment","2 ",1418,"Downtown Views"," Downtown Dubai","Featured"
"1938",160000,"Apartment","2 ",1238,"Downtown Views"," Downtown Dubai","Featured"
"1939",115000,"Apartment","2 ",1643," Mohammad Bin Rashid Boulevard"," Downtown Dubai","Featured"
"1940",75000,"Apartment","2 ",800,"Collective 2.0"," Dubai Hills Estate","Featured"
"1941",80000,"Apartment","1 ",745,"The cove"," Dubai Creek Harbour (The Lagoons)","Featured"
"1942",137000,"Apartment","2 ",1338," Reehan"," Old Town","Featured"
"1943",299999,"Apartment","2 ",1334," The Address Residence Fountain Views"," Downtown Dubai","Featured"
"1944",179999,"Apartment","3 ",1940," DAMAC Towers by Paramount"," Business Bay","Featured"
"1945",145000,"Apartment","1 ",1103,"SLS Dubai Hotel & Residences"," Business Bay","Featured"
"1946",2e+05,"Apartment","1 ",853," The Address Residence Fountain Views"," Downtown Dubai","Featured"
"1947",78000,"Apartment","1 ",724,"Aria"," Jumeirah Village Circle","Featured"
"1948",220000,"Apartment","2 ",1290," La Mer"," Jumeirah","Featured"
"1949",230000,"Apartment","3 ",2500,"ANWA"," Maritime City","Featured"
"1950",179990,"Apartment","2 ",1327,"Paramount Tower Hotel & Residences"," Business Bay","Featured"
"1951",160000,"Apartment","2 ",1126,"5242"," Dubai Marina","Featured"
"1952",175000,"Apartment","3 ",1854,"Marina Tower"," Dubai Marina","Featured"
"1953",33000,"Apartment","studio ",586,"The Matrix"," Dubai Sports City","Featured"
"1954",60000,"Apartment","1 ",645," Park Heights"," Dubai Hills Estate","Featured"
"1955",80000,"Apartment","2 ",1300,"Spring Oasis"," Dubai Silicon Oasis","Featured"
"1956",1e+05,"Apartment","1 ",800,"Botanica Tower"," Dubai Marina","Featured"
"1957",35000,"Apartment","studio ",395,"Bloom Towers"," Jumeirah Village Circle","Featured"
"1958",36000,"Apartment","1 ",891,"Binghatti Point"," Dubai Silicon Oasis","Featured"
"1959",150000,"Apartment","2 ",1675,"The Atlantic"," Dubai Marina","Featured"
"1960",70000,"Apartment","1 ",758," Creek Horizon"," Dubai Creek Harbour (The Lagoons)","Featured"
"1961",210000,"Apartment","3 ",2390," Emaar 6 Towers"," Dubai Marina","Featured"
"1962",260000,"Apartment","3 ",1842," BLVD Crescent"," Downtown Dubai","Featured"
"1963",155000,"Apartment","3 ",1604,"Harbour Views 1"," Dubai Creek Harbour (The Lagoons)","Featured"
"1964",370000,"Apartment","3 ",2069," EMAAR Beachfront"," Dubai Harbour","Featured"
"1965",60000,"Apartment","2 ",1243,"Lincoln Park"," Arjan","Featured"
"1966",105000,"Apartment","2 ",1330,"Millennium Binghatti Residences"," Business Bay","Featured"
"1967",93000,"Apartment","1 ",951," Al Majara"," Dubai Marina","Featured"
"1968",85000,"Apartment","1 ",1105," Rimal"," Jumeirah Beach Residence","Featured"
"1969",40000,"Apartment","studio ",408," The Drive"," DAMAC Hills","Featured"
"1970",190000,"Apartment","2 ",1960,"Building 4A"," City Walk","Featured"
"1971",550000,"Apartment","2 ",1926," Burj Khalifa Area"," Downtown Dubai","Featured"
"1972",60000,"Apartment","1 ",480,"Collective 2.0"," Dubai Hills Estate","Featured"
"1973",34999,"Apartment","studio ",438," District 18"," Jumeirah Village Circle","Featured"
"1974",114999,"Apartment","2 ",1328,"Elite Residence"," Dubai Marina","Featured"
"1975",150000,"Apartment","2 ",1855,"Marina Terrace"," Dubai Marina","Featured"
"1976",2e+05,"Apartment","3 ",1750," The Fairways"," The Views","Featured"
"1977",110000,"Apartment","studio ",520,"The Address Downtown Hotel"," Downtown Dubai","Featured"
"1978",26000,"Apartment","studio ",472,"Plaza Residences"," Jumeirah Village Circle","Featured"
"1979",90000,"Apartment","1 ",930," Miska"," Old Town","Featured"
"1980",70000,"Apartment","1 ",1190," Lake Almas West"," Jumeirah Lake Towers","Featured"
"1981",33000,"Apartment","studio ",405,"Miraclz Tower by Danube"," Arjan","Featured"
"1982",184999,"Apartment","2 ",1426,"Boulevard Point"," Downtown Dubai","Featured"
"1983",84900,"Apartment","studio ",651,"SLS Dubai Hotel & Residences"," Business Bay","Featured"
"1984",380000,"Apartment","2 ",1698," The Address Sky View Towers"," Downtown Dubai","Featured"
"1985",85000,"Apartment","2 ",805," Sobha Hartland"," Mohammed Bin Rashid City","Featured"
"1986",3e+05,"Apartment","2 ",1923," Amwaj"," Jumeirah Beach Residence","Featured"
"1987",80000,"Apartment","1 ",964,"Beverly Residence"," Jumeirah Village Circle","Featured"
"1988",114000,"Apartment","2 ",1218,"Harbour Views 2"," Dubai Creek Harbour (The Lagoons)","Featured"
"1989",30000,"Apartment","studio ",398,"Hera Tower"," Dubai Sports City","Featured"
"1990",135000,"Apartment","1 ",956," The Old Town Island"," Old Town","Featured"
"1991",105000,"Apartment","1 ",843," Boulevard Central Towers"," Downtown Dubai","Featured"
"1992",55000,"Apartment","2 ",1425,"Binghatti Point"," Dubai Silicon Oasis","Featured"
"1993",125000,"Apartment","1 ",784," Madinat Jumeirah Living"," Umm Suqeim","Featured"
"1994",140000,"Apartment","1 ",1158," Anantara Residences"," Palm Jumeirah","Featured"
"1995",99999,"Apartment","2 ",1742,"MAG 218"," Dubai Marina","Featured"
"1996",65000,"Apartment","1 ",710,"Harbour Views 2"," Dubai Creek Harbour (The Lagoons)","Featured"
"1997",180000,"Apartment","2 ",1532,"Damac Heights"," Dubai Marina","Featured"
"1998",490000,"Apartment","3 ",2018," The Address Sky View Towers"," Downtown Dubai","Featured"
